Pöntun 1;Customer('Viðskiptavinur 3','HILMAR PALL','0407982349','HilmarSPICY@hotmail.com','8451289');Car('LFC54','Fólksbíll','Ford Fiesta','Beinskiptur',24000,True);datetime.date(2018, 12, 11);datetime.date(2018, 12, 11);Grunntrygging;1234567890123456;17000;True
Pöntun 2;Customer('Viðskiptavinur 6','Einar','2505983519','einaropr@gmail.com','8662282');Car('KJX89','Smábíll','Toyota Yaris','Beinskiptur',26000,True);datetime.date(2018, 12, 11);datetime.date(2018, 12, 11);Aukatrygging;1234567890123456;13500;False
Pöntun 3;Customer('Viðskiptavinur 6','Einar','2505983519','einaropr@gmail.com','8662282');Car('KJX89','Smábíll','Toyota Yaris','Beinskiptur',26000,True);datetime.date(2018, 12, 15);datetime.date(2018, 12, 17);Aukatrygging;1234567890123456;40500;False
Pöntun 4;Customer('Viðskiptavinur 6','Einar','2505983519','einaropr@gmail.com','8662282');Car('KJX89','Smábíll','Toyota Yaris','Beinskiptur',26000,True);datetime.date(2018, 12, 12);datetime.date(2018, 12, 12);Grunntrygging;1234567890123456;0;False
Pöntun 5;Customer('Viðskiptavinur 6','Einar','2505983519','einaropr@gmail.com','8662282');Car('LFC54','Fólksbíll','Ford Fiesta','Beinskiptur',24000,True);datetime.date(2018, 12, 14);datetime.date(2018, 12, 14);Grunntrygging;1234567890123456;0;False
Pöntun 6;Customer('Viðskiptavinur 6','Einar','2505983519','einaropr@gmail.com','8662282');Car('LFC54','Fólksbíll','Ford Fiesta','Beinskiptur',24000,True);datetime.date(2018, 12, 14);datetime.date(2018, 12, 14);Grunntrygging;1234567890123456;17000;False
Pöntun 7;Customer('Viðskiptavinur 6','Einar','2505983519','einaropr@gmail.com','8662282');Car('KKK69','Smárúta','Coca Cola','Sjálfskiptur',10,True);datetime.date(2018, 12, 21);datetime.date(2018, 12, 22);Grunntrygging;1234567890123456;0;False
Pöntun 8;Customer('Viðskiptavinur 6','Einar','2505983519','einaropr@gmail.com','8662282');Car('KKK69','Smárúta','Coca Cola','Sjálfskiptur',10,True);datetime.date(2018, 12, 21);datetime.date(2018, 12, 22);Grunntrygging;1234567890123456;64000;False
Pöntun 9;Customer('Viðskiptavinur 6','Einar','2505983519','einaropr@gmail.com','8662282');Car('KKK69','Smárúta','Coca Cola','Sjálfskiptur',10,True);datetime.date(2018, 12, 15);datetime.date(2018, 12, 16);Grunntrygging;t;0;False
Pöntun 10;Customer('Viðskiptavinur 6','Einar','2505983519','einaropr@gmail.com','8662282');Car('KKK69','Smárúta','Coca Cola','Sjálfskiptur',10,True);datetime.date(2018, 12, 15);datetime.date(2018, 12, 16);Grunntrygging;t;64000;False
Pöntun 11;Customer('Viðskiptavinur 6','Einar','2505983519','einaropr@gmail.com','8662282');Car('WOW12','Fimm sæta jeppi','Jeep Ceroki','Beinskiptur',5000,True);datetime.date(2019, 12, 20);datetime.date(2019, 12, 20);Aukatrygging;1234567890123456;23500;False
Pöntun 12;Customer('Viðskiptavinur 11','Afi','5544332211','afi@amma.is','5432185');Car('HSG98','Fólksbíll','BLA','Sjálfskiptur',5000,True);datetime.date(2019, 7, 21);datetime.date(2019, 7, 24);Aukatrygging;1324123456789632;74000;False
Pöntun 13;Customer('Viðskiptavinur 11','Afi','5544332211','afi@amma.is','5432185');Car('KJX89','Smábíll','Toyota Yaris','Beinskiptur',26000,True);datetime.date(2021, 7, 21);datetime.date(2021, 7, 24);Aukatrygging;1234123412341234;54000;False
Pöntun 14;Customer('Viðskiptavinur 4','Jón Kristinn Þórðarson','2107982349','jonkrona@gmail.com','8201580');Car('WOW12','Fimm sæta jeppi','Jeep Ceroki','Beinskiptur',5000,True);datetime.date(2030, 7, 21);datetime.date(2030, 7, 24);Aukatrygging;1234123412341234;94000;False
Pöntun 15;Customer('Viðskiptavinur 4','Jón Kristinn Þórðarson','2107982349','jonkrona@gmail.com','8201580');Car('KKK69','Smárúta','Coca Cola','Sjálfskiptur',10,True);datetime.date(2030, 7, 21);datetime.date(2030, 7, 24);Aukatrygging;1234432112344321;134000;False
